policy,knowledge,objective,min_gain_sec,max_count_imbalance,n_seeds,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,overrides,p95_delta_vs_queue_sec,ttft_p95_delta_vs_queue_sec
guarded_ttft_oracle,oracle,ttft,0.25,2,3,13.936402234863726,40.15682284221922,47.323095738055834,3.0328798759222324,12.394081607093872,14.466203148165654,779.0479399976879,0.9399420747461913,0.6136576615208297,94.7,46.70000000000001,0.8377777777777778,52.666666666666664,0.3127494417423975,-0.29765217193439497
guarded_completion_oracle,oracle,completion,0.75,0,3,13.967396108804676,39.80414038852414,46.377506853880554,3.0211497313335713,12.40827004433774,14.753652326839974,784.4034128804801,0.9463484839641237,0.616012779393364,95.01666666666667,47.01666666666667,0.8411111111111111,32.333333333333336,-0.03993301195268373,-0.28346373469052644
guarded_completion_helix,helix,completion,0.75,2,3,13.880171531928214,40.278667175797416,47.24736524720282,3.04563189023265,12.41916474289201,15.60144976478833,772.6232602987169,0.9387006209463665,0.6085785685862265,94.03333333333335,46.03333333333334,0.8388888888888889,56.666666666666664,0.43459377532059307,-0.2725690361362574
guarded_ttft_helix,helix,ttft,0.25,2,3,13.791195019941268,39.7755610712926,47.13859234685011,3.02601391660574,12.41965944789385,15.361044287451397,787.0500597006167,0.9512529724130311,0.6175418250095267,93.68333333333334,45.68333333333334,0.8366666666666666,56.0,-0.06851232918422312,-0.2720743311344176
guarded_ttft_oracle,oracle,ttft,0.25,0,3,13.940864173445418,40.17431915341418,45.882824638056995,3.0295110019971028,12.45070820881982,15.04076401901254,777.8093466230488,0.9383496832132526,0.6113021128663222,94.38333333333334,46.38333333333335,0.8388888888888889,25.333333333333332,0.33024575293735836,-0.24102557020844628
guarded_completion_helix,helix,completion,0.25,0,3,13.881058465386545,40.495798588437225,46.5087185397878,2.9292769878572904,12.451473698709906,15.280367817265661,779.5897180652873,0.9427120215265065,0.6121789796318562,94.36666666666667,46.366666666666674,0.8333333333333334,41.333333333333336,0.6517251879604018,-0.240260080318361
ttft_helix,helix,ttft,0.0,1000000000,3,14.14682923910339,39.81372980286658,46.55173031317462,3.0608139510376806,12.462908078998574,15.444106290708552,786.554372744269,0.9513414621135216,0.6200737954135326,94.7,46.70000000000001,0.8422222222222221,135.0,-0.030343597610240636,-0.22882570002969338
guarded_completion_oracle,oracle,completion,0.0,2,3,13.93114729061648,40.124609995974055,46.72109095686108,3.04698900770004,12.465622217176412,14.525717058137191,792.9050364471456,0.9632104659216388,0.6213114672904482,94.7,46.70000000000001,0.8444444444444444,112.0,0.28053659549723164,-0.22611156185185521
completion_oracle,oracle,completion,0.0,1000000000,3,13.892871679802818,40.100132396839975,46.66757433625474,3.0488304310639145,12.468085474197517,14.519648000927916,792.7961388080965,0.9629874992569872,0.6211542901453425,95.03333333333335,47.03333333333334,0.8433333333333334,112.33333333333333,0.25605899636315144,-0.22364830483074982
guarded_completion_helix,helix,completion,0.25,1,3,13.957162090676661,40.41643292279807,46.235522305664254,3.0280763649668567,12.46839795376674,15.559775990530198,772.5727239139445,0.9365939649662393,0.607865611736742,95.36666666666667,47.366666666666674,0.8388888888888889,82.33333333333333,0.5723595223212499,-0.22333582526152718
guarded_ttft_helix,helix,ttft,0.75,0,3,13.942160351532202,40.311676552159014,46.8173254537764,3.0058623004523395,12.468533558765401,15.430110968887929,775.8343363614913,0.9382725843059739,0.6098426105660881,94.68333333333334,46.68333333333334,0.8366666666666666,18.666666666666668,0.4676031516821908,-0.223200220262866
ttft_oracle,oracle,ttft,0.0,1000000000,3,14.147965835161196,40.22508797967118,47.32646329799547,3.028051154301243,12.47214582667096,14.46226675033443,785.1092912156228,0.9476692209573269,0.6194307239573651,95.03333333333335,47.03333333333334,0.84,138.0,0.3810145791943569,-0.21958795235730655
guarded_ttft_oracle,oracle,ttft,0.75,0,3,14.016346556141515,39.98750604958573,46.21128734574228,3.0286954342490433,12.473152626477932,15.165150577764583,783.0116068277933,0.9458164621539474,0.6150814749534322,95.01666666666667,47.01666666666667,0.8377777777777777,22.666666666666668,0.14343264910890952,-0.2185811525503354
guarded_completion_oracle,oracle,completion,0.75,2,3,13.931958962685835,40.058079033034055,46.88040193329717,3.015584513520904,12.474858148077312,14.586598635728699,789.467102854912,0.9553719428826395,0.6196720114545498,94.71666666666668,46.716666666666676,0.8388888888888889,38.0,0.2140056325572317,-0.2168756309509554
guarded_completion_oracle,oracle,completion,0.75,1,3,14.004737501283527,40.063940091266296,46.63083038590079,3.017659651616217,12.514627571904484,14.618518161708872,791.677100951897,0.9585416468540963,0.6207052188937942,94.7,46.70000000000001,0.8411111111111111,37.333333333333336,0.2198666907894733,-0.17710620712378322
guarded_completion_helix,helix,completion,0.75,1,3,14.117808722661358,39.200851875270835,46.88298280418913,3.1011240720638695,12.559570826457254,14.886938950072837,774.2219791123034,0.9382192033332784,0.607852608580581,94.7,46.70000000000001,0.84,60.666666666666664,-0.6432215252059876,-0.1321629525710133
guarded_ttft_oracle,oracle,ttft,0.25,1,3,13.9404397093705,39.87171578483472,46.923873096611544,3.022287171477713,12.58585147659317,14.905779353794749,785.6488412699791,0.9505766347559584,0.6176369497978674,94.35000000000001,46.35,0.8366666666666666,53.333333333333336,0.027642384357896788,-0.10588230243509678
guarded_completion_oracle,oracle,completion,0.0,0,3,14.007831275053235,40.22560597715813,46.95382288114152,3.0417725306642516,12.59079340694138,15.529400302751888,791.8146051899757,0.961409257331921,0.6216308086802725,94.7,46.70000000000001,0.8411111111111111,72.66666666666667,0.3815325766813089,-0.10094037208688711
guarded_ttft_oracle,oracle,ttft,0.75,1,3,14.042302519833546,39.871234357340306,46.158919075343995,3.0258200983099983,12.594461268942462,15.297478661533702,785.5269472290256,0.9505743439408715,0.6167069242904815,95.03333333333335,47.03333333333334,0.8366666666666666,43.0,0.027160956863482966,-0.09727251008580495
least_work,oracle,completion,0.0,1000000000,3,13.890660436185442,39.706330271769794,46.721040018090044,3.127584421810075,12.61900730588115,14.780163257027633,793.0699623888441,0.9595720871002175,0.622599788093528,94.68333333333334,46.68333333333334,0.8533333333333334,140.66666666666666,-0.13774312870702943,-0.07272647314711733
guarded_ttft_helix,helix,ttft,0.0,1,3,14.03766117440621,40.739681166434,46.97769554470682,2.988586575121889,12.63826012415432,15.109293289689171,776.9588459113276,0.9421596430390841,0.6106703530061669,95.01666666666667,47.01666666666667,0.8355555555555556,115.66666666666667,0.8956077659571804,-0.053473654873947396
guarded_completion_helix,helix,completion,0.25,2,3,13.962247134535957,40.44929368984361,46.94394943570865,3.0651099584792454,12.672610151189433,15.43839174807674,780.7376698900883,0.9450337698914769,0.613553336520998,94.36666666666667,46.366666666666674,0.8433333333333334,93.33333333333333,0.605220289366784,-0.019123627838833812
guarded_ttft_helix,helix,ttft,0.75,1,3,13.989049718502953,40.37002321017412,46.9543193607203,3.0216404536101753,12.686863543415619,15.028526678247145,789.0504808168231,0.9521001700030403,0.6194027582495925,93.7,45.70000000000001,0.8366666666666666,40.666666666666664,0.5259498096972948,-0.004870235612647988
guarded_ttft_helix,helix,ttft,0.0,2,3,14.114581390722236,40.23633240104865,47.08788496662165,3.071401743027625,12.690851666126465,15.483485586067031,780.3020959264751,0.9384337669573558,0.6156925200260227,95.35000000000001,47.35,0.8322222222222222,125.66666666666667,0.3922590005718263,-0.000882112901802401
queue_size,prior,completion,0.0,1000000000,3,13.964835551834488,39.84407340047682,47.00681875966652,3.0247798763720994,12.691733779028267,15.214525197713627,777.320962269011,0.9415519131153526,0.6102721409583908,94.7,46.70000000000001,0.8388888888888889,0.0,0.0,0.0
guarded_completion_helix,helix,completion,0.0,1,3,13.857010302022596,39.80222108753321,47.42281660398129,3.0611112033467633,12.695141163372767,15.616579177302894,776.6809892514125,0.9423390314322098,0.6098107820809879,95.01666666666667,47.01666666666667,0.8411111111111111,115.0,-0.041852312943611025,0.003407384344500386
guarded_ttft_oracle,oracle,ttft,0.75,2,3,13.99666521067798,39.65551169385939,46.87580764795705,3.0316141429318346,12.702969675455089,14.9352172055613,786.8719087694227,0.9518755328626546,0.6180882230741541,94.7,46.70000000000001,0.8366666666666666,41.0,-0.18856170661743477,0.011235896426821768
guarded_ttft_helix,helix,ttft,0.0,0,3,14.071937487368466,40.12432735699185,46.65040527990562,2.984829171466913,12.709169823211944,15.039593145766334,785.843591790422,0.9484727037484157,0.6175037326761061,96.01666666666667,48.01666666666667,0.8422222222222221,68.0,0.2802539565150255,0.01743604418367717
guarded_completion_oracle,oracle,completion,0.25,0,3,13.917685141055728,39.95047991956118,46.62274191345932,2.995262326360175,12.711738903830172,15.011965375050044,788.9793604664923,0.958024093646758,0.6186012107827763,94.35000000000001,46.35,0.8466666666666667,35.666666666666664,0.10640651908435927,0.020005124801905083
guarded_ttft_oracle,oracle,ttft,0.0,1,3,13.957781589704638,40.47545622515828,46.98453004431949,3.061089259566202,12.713439639316292,15.100365446992399,787.3628024009282,0.9520610193192884,0.6187941009449683,94.36666666666667,46.366666666666674,0.8355555555555556,119.33333333333333,0.6313828246814595,0.02170586028802468
guarded_ttft_helix,helix,ttft,0.25,0,3,13.961359031639631,40.19845666238106,46.84435872081351,3.026247600520385,12.733782154787876,15.895818031175173,782.9200519012296,0.9488140495724356,0.6151242507282826,95.7,47.70000000000001,0.8366666666666666,26.0,0.3543832619042391,0.04204837575960951
guarded_ttft_helix,helix,ttft,0.25,1,3,13.77563233142172,40.25076799153148,46.78703942891955,3.025265967298381,12.882327555743894,15.829109268135818,777.813939922224,0.9437643337367779,0.6124178143218949,94.03333333333335,46.03333333333334,0.8388888888888889,50.333333333333336,0.4066945910546593,0.19059377671562672
round_robin,prior,completion,0.0,1000000000,3,13.98920599220934,39.974626133739626,47.00710821466222,3.0100314937642225,13.02558367818326,15.244709453645273,776.6577440266292,0.9411379557145558,0.610900495320225,94.7,46.70000000000001,0.8411111111111111,0.0,0.13055273326280314,0.33384989915499297
