policy,knowledge,objective,min_gain_sec,max_count_imbalance,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,assignments,max_pending,overrides,seed
guarded_ttft_oracle,oracle,ttft,0.75,0,22.683971840978543,48.50814259760349,54.99387597062517,8.864570528639486,20.960882555467133,23.66480504710352,909.377045760668,0.9686868723474108,0.7437040804944641,125.0,77.0,0.8866666666666667,"[154, 146]","[66, 66]",23,1
guarded_ttft_helix,helix,ttft,0.0,1,22.65942954244449,49.49265973258759,54.32922467758585,8.739049893473442,21.515369497084652,23.725557025605205,895.9424732771053,0.9562901745632639,0.7321001140063169,124.0,76.0,0.89,"[150, 150]","[68, 67]",118,1
guarded_ttft_oracle,oracle,ttft,0.0,1,22.273066865992647,48.12144493536184,54.79460145304152,8.951553358844475,21.86912904885423,23.231078418645943,916.4418134336157,0.9748800812571383,0.7473874744008184,123.0,75.0,0.89,"[155, 145]","[66, 67]",127,1
guarded_ttft_helix,helix,ttft,0.25,1,22.071886173941813,49.11287974838087,55.52880575212033,8.857787946285832,22.37510050954017,25.22658117402863,887.2289187269812,0.9548771876444795,0.7292983015610961,122.05000000000001,74.05000000000001,0.8866666666666667,"[159, 141]","[68, 66]",75,1
guarded_ttft_oracle,oracle,ttft,0.25,1,22.596855563782945,47.73727632923565,55.12231727002289,8.86091301764303,21.76348833341037,22.6301508130894,909.563276467448,0.9734416714664941,0.7439034937882327,125.0,77.0,0.8866666666666667,"[153, 147]","[68, 67]",76,1
guarded_ttft_helix,helix,ttft,0.75,1,22.680935198189424,48.350070956687176,55.13512942085799,8.86040195701486,21.37249725247585,23.24489177814588,919.9309045581623,0.9788032100419501,0.7490865980897963,124.05000000000001,76.05000000000001,0.8866666666666667,"[150, 150]","[67, 66]",58,1
guarded_ttft_oracle,oracle,ttft,0.75,1,22.699806343616867,48.25499999349316,54.686106534857764,8.861704238565233,21.36072784115309,23.316660900281484,915.1916479768755,0.9803917443061883,0.7466596468013174,125.0,77.0,0.8866666666666667,"[156, 144]","[68, 67]",67,1
guarded_ttft_helix,helix,ttft,0.0,2,22.583882918083876,48.44913572120788,55.7113401394371,8.979063713026793,22.039505252090116,23.867037992404942,913.1282564183927,0.9765060516887709,0.7457999557078167,125.0,77.0,0.8966666666666666,"[146, 154]","[68, 67]",131,1
guarded_ttft_oracle,oracle,ttft,0.0,2,22.638902781622072,47.77105912588228,55.03685271058748,9.055108740194534,21.19361220280331,23.46967359397449,909.0458705575696,0.9740059026638613,0.7436557166196336,124.05000000000001,76.05000000000001,0.8966666666666666,"[153, 147]","[68, 66]",128,1
guarded_ttft_helix,helix,ttft,0.25,2,22.2158524528558,47.79152212975564,55.7997119687993,8.857787946285832,21.4362533068091,24.55314161249671,919.6528231368329,0.9840265560217765,0.7481524208216,123.0,75.0,0.8866666666666667,"[158, 142]","[68, 66]",72,1
guarded_ttft_oracle,oracle,ttft,0.25,2,22.387120559897802,48.53641773197804,54.98850756929592,8.858798203686838,21.772084895998912,22.91908950499058,912.3714736650156,0.97756839813227,0.7449112049196998,125.0,77.0,0.8866666666666667,"[149, 151]","[66, 67]",69,1
guarded_ttft_helix,helix,ttft,0.75,2,22.589012005364598,48.11253095013979,55.699633541432256,8.86040195701486,20.612451650069552,24.432911208520075,920.5785172009746,0.9850619750104084,0.7492774379682445,125.0,77.0,0.8866666666666667,"[152, 148]","[67, 67]",57,1
guarded_ttft_oracle,oracle,ttft,0.75,2,22.530956189871315,47.62163449657017,55.73897477991136,8.864277374686637,21.82106163712238,22.867630874156347,914.9533794265739,0.9789021981836832,0.7462483644808005,123.0,75.0,0.8866666666666667,"[154, 146]","[64, 67]",59,1
guarded_completion_helix,helix,completion,0.0,0,22.462910155965403,46.900574106648506,55.44730779168614,8.52650990557292,20.957370398935545,24.851097102622866,902.6001086631836,0.9677194658462491,0.7370996375275758,124.05000000000001,76.05000000000001,0.89,"[153, 147]","[66, 67]",54,1
guarded_completion_oracle,oracle,completion,0.0,0,22.592599934052608,47.939292294031716,55.21939379185419,8.900076696112215,21.905733252091267,23.536713235082882,920.4566202036965,0.9877330809649022,0.7496993393250622,124.0,76.0,0.8966666666666666,"[152, 148]","[67, 66]",67,1
guarded_completion_helix,helix,completion,0.25,0,22.634158301003588,48.65814256797265,54.59028739696942,8.553184142991723,21.741248506611967,23.571630164823354,910.8815727484898,0.97526815197098,0.7440203175907818,123.05000000000001,75.05000000000001,0.8933333333333333,"[154, 146]","[67, 67]",21,1
guarded_completion_oracle,oracle,completion,0.25,0,22.367742040315214,47.92892084462058,54.87711802525169,8.743097439044979,21.91727026197633,23.58643721569957,923.3474291722135,0.9911048311728816,0.7517570222941593,124.0,76.0,0.9,"[147, 153]","[67, 67]",32,1
guarded_completion_helix,helix,completion,0.75,0,22.456462273162014,48.95547781979638,54.41775131521004,9.04732507359274,20.629609111501264,25.13635955746876,904.4042857283478,0.9693581696696763,0.7379300286575617,124.05000000000001,76.05000000000001,0.89,"[151, 149]","[65, 66]",56,1
guarded_completion_oracle,oracle,completion,0.75,0,22.28940873284368,47.90404596020905,54.450418289043476,8.831846699788812,21.64109438343163,23.50893072111092,918.5602703562979,0.982264710291753,0.7491866505615465,123.0,75.0,0.89,"[150, 150]","[66, 66]",38,1
guarded_completion_helix,helix,completion,0.0,1,22.136108600366036,47.118850893612034,55.99730315984483,8.963624493155459,22.558070150327122,25.976980112570057,886.8538972393669,0.95337407163455,0.7245166684270825,124.0,76.0,0.8933333333333333,"[145, 155]","[67, 66]",124,1
guarded_completion_oracle,oracle,completion,0.0,1,22.32851879617743,48.864871971149725,55.24076240825404,8.990743369447337,21.529222054221616,23.827824629205267,909.6846151472852,0.9770746035224871,0.7430488967532346,124.05000000000001,76.05000000000001,0.9,"[154, 146]","[66, 68]",119,1
guarded_completion_helix,helix,completion,0.25,1,22.344262491431746,49.602954167614755,54.07227876971031,8.866128032083301,21.614146952457133,24.39640378763062,877.5336226719409,0.9407122428327337,0.7178252272263432,124.0,76.0,0.89,"[159, 141]","[67, 67]",88,1
guarded_completion_oracle,oracle,completion,0.25,1,22.654259489977534,47.839993288149365,55.00924566153945,8.843156503803991,21.781468287894473,23.35621466649952,919.4543537363395,0.9865967566249609,0.7490408735618868,124.05000000000001,76.05000000000001,0.8966666666666666,"[149, 151]","[66, 67]",77,1
