policy,knowledge,objective,min_gain_sec,max_count_imbalance,n_seeds,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,overrides,p95_delta_vs_queue_sec,ttft_p95_delta_vs_queue_sec
guarded_ttft_helix,helix,ttft,0.0,2,3,13.938099962215446,40.15993341245863,47.02870635912954,3.0649797787382016,12.6791250262697,15.139051673848831,790.3964581744527,0.9537923766351627,0.6214244496440798,95.03333333333335,47.03333333333334,0.8300000000000001,126.0,0.3158600119818047,-0.012608752758566766
queue_size,prior,completion,0.0,1000000000,3,13.964835551834488,39.84407340047682,47.00681875966652,3.0247798763720994,12.691733779028267,15.214525197713627,777.320962269011,0.9415519131153526,0.6102721409583908,94.7,46.70000000000001,0.8388888888888889,0.0,0.0,0.0
guarded_ttft_oracle,oracle,ttft,0.75,2,3,13.99666521067798,39.65551169385939,46.87580764795705,3.0316141429318346,12.702969675455089,14.9352172055613,786.8719087694227,0.9518755328626546,0.6180882230741541,94.7,46.70000000000001,0.8366666666666666,41.0,-0.18856170661743477,0.011235896426821768
guarded_completion_oracle,oracle,completion,0.25,0,3,13.917685141055728,39.95047991956118,46.62274191345932,2.995262326360175,12.711738903830172,15.011965375050044,788.9793604664923,0.958024093646758,0.6186012107827763,94.35000000000001,46.35,0.8466666666666667,35.666666666666664,0.10640651908435927,0.020005124801905083
guarded_ttft_oracle,oracle,ttft,0.0,1,3,13.957781589704638,40.47545622515828,46.98453004431949,3.061089259566202,12.713439639316292,15.100365446992399,787.3628024009282,0.9520610193192884,0.6187941009449683,94.36666666666667,46.366666666666674,0.8355555555555556,119.33333333333333,0.6313828246814595,0.02170586028802468
guarded_ttft_helix,helix,ttft,0.75,1,3,14.098785213357266,39.90281875015189,46.83808278590762,2.9812873379510925,12.74623761644195,15.13948071415039,783.1812856468565,0.9447651319111733,0.6152470250755728,94.38333333333334,46.38333333333335,0.8377777777777777,42.0,0.05874534967506406,0.0545038374136837
ttft_helix,helix,ttft,0.0,1000000000,3,14.054489056801552,40.22162596157046,46.462595277791024,2.7816750377871524,12.783551297661882,15.146532991021587,785.2130337013288,0.9438329263196731,0.6194386155487781,93.7,45.70000000000001,0.8422222222222221,137.0,0.377552561093637,0.09181751863361498
guarded_completion_helix,helix,completion,0.25,1,3,14.099146082689098,39.63610395614427,46.09176738624663,3.029849583098659,12.904569191144112,16.277172748091697,779.4161641142351,0.9407597161028914,0.6128539807223036,95.01666666666667,47.01666666666667,0.8377777777777777,86.0,-0.20796944433255504,0.21283541211584556
guarded_completion_helix,helix,completion,0.0,1,3,13.920845986197165,40.51201089829744,46.498579552814284,3.064041542972532,12.905979909407586,16.273982390213202,768.8810119337026,0.9314277033177616,0.6047594427302622,94.7,46.70000000000001,0.8422222222222223,114.66666666666667,0.667937497820617,0.21424613037931906
round_robin,prior,completion,0.0,1000000000,3,13.98920599220934,39.974626133739626,47.00710821466222,3.0100314937642225,13.02558367818326,15.244709453645273,776.6577440266292,0.9411379557145558,0.610900495320225,94.7,46.70000000000001,0.8411111111111111,0.0,0.13055273326280314,0.33384989915499297
