policy,knowledge,objective,min_gain_sec,max_count_imbalance,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,assignments,max_pending,overrides,seed
guarded_ttft_helix,helix,ttft,0.75,0,22.474324618616123,49.157346599791495,54.84196850153619,8.803015567303202,20.842835453479562,26.267546585147674,896.8906401420774,0.9630188295108026,0.7323890550033498,124.0,76.0,0.8866666666666667,"[154, 146]","[66, 67]",30,1
guarded_ttft_oracle,oracle,ttft,0.75,0,22.683971840978543,48.50814259760349,54.99387597062517,8.864570528639486,20.960882555467133,23.66480504710352,909.377045760668,0.9686868723474108,0.7437040804944641,125.0,77.0,0.8866666666666667,"[154, 146]","[66, 66]",23,1
guarded_ttft_helix,helix,ttft,0.0,1,22.612272922749664,48.00832096394403,54.33458306929993,8.977201600986465,21.388465729888715,24.592723654149363,922.2100281407335,0.9809824298932678,0.7530155692870755,125.0,77.0,0.89,"[150, 150]","[67, 68]",125,1
guarded_ttft_oracle,oracle,ttft,0.0,1,22.273066865992647,48.12144493536184,54.79460145304152,8.951553358844475,21.86912904885423,23.231078418645943,916.4418134336157,0.9748800812571383,0.7473874744008184,123.0,75.0,0.89,"[155, 145]","[66, 67]",127,1
guarded_ttft_helix,helix,ttft,0.25,1,22.359447267464233,48.49791578664201,54.33975428155436,8.514786703611817,21.52786912792244,23.731946947963344,922.5432137895228,0.9880283070151957,0.7509373583624617,123.05000000000001,75.05000000000001,0.8866666666666667,"[155, 145]","[68, 67]",65,1
guarded_ttft_oracle,oracle,ttft,0.25,1,22.596855563782945,47.73727632923565,55.12231727002289,8.86091301764303,21.76348833341037,22.6301508130894,909.563276467448,0.9734416714664941,0.7439034937882327,125.0,77.0,0.8866666666666667,"[153, 147]","[68, 67]",76,1
guarded_ttft_helix,helix,ttft,0.75,1,22.698875749051307,48.08414633432037,54.862393988701115,8.706434891043425,21.886742613286543,24.236478435568806,918.0713615881997,0.9831947128985541,0.7485685005299438,124.05000000000001,76.05000000000001,0.8866666666666667,"[152, 148]","[68, 67]",60,1
guarded_ttft_oracle,oracle,ttft,0.75,1,22.699806343616867,48.25499999349316,54.686106534857764,8.861704238565233,21.36072784115309,23.316660900281484,915.1916479768755,0.9803917443061883,0.7466596468013174,125.0,77.0,0.8866666666666667,"[156, 144]","[68, 67]",67,1
guarded_ttft_helix,helix,ttft,0.0,2,22.298796491873798,48.26135014834209,54.997870399510006,8.976986435291439,21.72063735080104,23.497337829024815,923.2214989952884,0.987486187518477,0.7532214444214562,124.0,76.0,0.8933333333333333,"[155, 145]","[66, 68]",131,1
guarded_ttft_oracle,oracle,ttft,0.0,2,22.638902781622072,47.77105912588228,55.03685271058748,9.055108740194534,21.19361220280331,23.46967359397449,909.0458705575696,0.9740059026638613,0.7436557166196336,124.05000000000001,76.05000000000001,0.8966666666666666,"[153, 147]","[68, 66]",128,1
guarded_ttft_helix,helix,ttft,0.25,2,22.314979955072985,47.714010226910524,54.39163923004479,8.552020840049982,21.707612507857757,24.745516500163056,920.9231421307621,0.9848333859349511,0.7488941834282656,123.05000000000001,75.05000000000001,0.8866666666666667,"[157, 143]","[69, 66]",70,1
guarded_ttft_oracle,oracle,ttft,0.25,2,22.387120559897802,48.53641773197804,54.98850756929592,8.858798203686838,21.772084895998912,22.91908950499058,912.3714736650156,0.97756839813227,0.7449112049196998,125.0,77.0,0.8866666666666667,"[149, 151]","[66, 67]",69,1
guarded_ttft_helix,helix,ttft,0.75,2,22.837958397709905,49.37182098537572,55.4725521215804,8.706434891043425,21.523627311206308,23.347363097480397,904.0929450349353,0.9685530835340221,0.7410035382869459,124.0,76.0,0.8866666666666667,"[154, 146]","[67, 66]",45,1
guarded_ttft_oracle,oracle,ttft,0.75,2,22.530956189871315,47.62163449657017,55.73897477991136,8.864277374686637,21.82106163712238,22.867630874156347,914.9533794265739,0.9789021981836832,0.7462483644808005,123.0,75.0,0.8866666666666667,"[154, 146]","[64, 67]",59,1
guarded_completion_helix,helix,completion,0.0,0,22.702890302052435,48.00877755343817,55.00495661919773,8.52650990557292,20.924562509669183,24.01014309946318,911.8584052463509,0.9760049909938568,0.7438209375515166,125.0,77.0,0.89,"[153, 147]","[66, 67]",54,1
guarded_completion_oracle,oracle,completion,0.0,0,22.592599934052608,47.939292294031716,55.21939379185419,8.900076696112215,21.905733252091267,23.536713235082882,920.4566202036965,0.9877330809649022,0.7496993393250622,124.0,76.0,0.8966666666666666,"[152, 148]","[67, 66]",67,1
guarded_completion_helix,helix,completion,0.25,0,22.441054191776946,48.72607116030839,54.587258031922104,8.553184142991723,21.73025534415536,23.960524309537643,907.239200601594,0.9722588608719844,0.739514795298682,123.05000000000001,75.05000000000001,0.8933333333333333,"[154, 146]","[67, 67]",18,1
guarded_completion_oracle,oracle,completion,0.25,0,22.367742040315214,47.92892084462058,54.87711802525169,8.743097439044979,21.91727026197633,23.58643721569957,923.3474291722135,0.9911048311728816,0.7517570222941593,124.0,76.0,0.9,"[147, 153]","[67, 67]",32,1
guarded_completion_helix,helix,completion,0.75,0,22.196240552402422,47.28740540385207,55.376198916361304,9.116101703749521,20.543046424868116,26.544328706479128,897.676154053355,0.9636009799839297,0.7356064607650754,123.05000000000001,75.05000000000001,0.89,"[147, 153]","[66, 66]",34,1
guarded_completion_oracle,oracle,completion,0.75,0,22.28940873284368,47.90404596020905,54.450418289043476,8.831846699788812,21.64109438343163,23.50893072111092,918.5602703562979,0.982264710291753,0.7491866505615465,123.0,75.0,0.89,"[150, 150]","[66, 66]",38,1
guarded_completion_helix,helix,completion,0.0,1,22.177506527307504,49.61541545456251,54.86892576153197,8.963624493155459,22.483325019255595,26.941562553619924,864.9374443535772,0.9242205337479567,0.7104512861493817,123.0,75.0,0.8933333333333333,"[145, 155]","[67, 66]",123,1
guarded_completion_oracle,oracle,completion,0.0,1,22.32851879617743,48.864871971149725,55.24076240825404,8.990743369447337,21.529222054221616,23.827824629205267,909.6846151472852,0.9770746035224871,0.7430488967532346,124.05000000000001,76.05000000000001,0.9,"[154, 146]","[66, 68]",119,1
guarded_completion_helix,helix,completion,0.25,1,22.27372479664584,46.2805180627325,54.28080376990367,8.866128032083301,21.915874243445252,24.93668423235231,891.3759566753441,0.9586034975563947,0.7266831708688402,124.0,76.0,0.89,"[157, 143]","[67, 67]",83,1
guarded_completion_oracle,oracle,completion,0.25,1,22.654259489977534,47.839993288149365,55.00924566153945,8.843156503803991,21.781468287894473,23.35621466649952,919.4543537363395,0.9865967566249609,0.7490408735618868,124.05000000000001,76.05000000000001,0.8966666666666666,"[149, 151]","[66, 67]",77,1
guarded_completion_helix,helix,completion,0.75,1,22.53847579064849,47.661093278299035,54.45826728173459,9.072492679733013,20.82252417057639,24.865194334326176,922.2161787242226,0.9872627129667231,0.7501312532773079,124.05000000000001,76.05000000000001,0.8933333333333333,"[154, 146]","[67, 66]",94,1
guarded_completion_oracle,oracle,completion,0.75,1,22.50311402036012,48.36656650700773,54.8049896170245,8.825855021092629,22.059197986860006,23.173035494960374,922.3384106198558,0.9873458557801219,0.7507059983980449,124.0,76.0,0.89,"[148, 152]","[66, 67]",56,1
guarded_completion_helix,helix,completion,0.0,2,22.10941352015415,48.657244673713286,55.603698739931296,8.767209433410022,21.681375677509124,24.207033282811256,907.2671191455498,0.9723490427988151,0.740726155357846,124.0,76.0,0.8933333333333333,"[146, 154]","[67, 65]",127,1
